"ID","StoreOpenYear","YearsSinceRemodel","Cluster","RecommendedServices"
"2232","2008","15.0","0","CVS, pharmacy"
"289","1987","15.0","0","Mobile, Kiosk"
"2304","2007","15.0","0",""
"1340","2001","15.0","0",""
"189","1983","14.0","0","Beer, Available, Starbucks, Wine"
"201","1983","14.0","0",""
"1305","2000","15.0","0",""
"1408","2002","16.0","0",""
"3262","2017","","0",""
"1328","2001","16.0","0","Starbucks"
"203","1983","15.0","0","Starbucks"
"190","1983","15.0","0",""
"2307","2007","7.0","0",""
"3225","2016","","0","CVS, pharmacy, Beer, Available, Wine"
"195","1983","15.0","0","Starbucks"
"1409","2003","15.0","0","Starbucks"
"2319","2007","15.0","0","Beer, Available, Wine"
"2424","2008","15.0","0",""
"2275","2007","15.0","0",""
"2470","2008","15.0","0",""
"2026","2005","15.0","0",""
"2328","2007","15.0","0",""
"290","1987","7.0","0",""
"200","1983","15.0","0","Starbucks"
"2280","2008","15.0","0",""
"2776","2012","","0",""
"1980","2005","15.0","0",""
"3217","2017","","0","Fresh, Grocery"
"1329","2001","8.0","0","Beer, Available, Wine"
"3216","2018","","0",""
"199","1983","8.0","0",""
"1306","2000","8.0","0","Beer, Available, Wine"
"2632","2009","","0",""
"1884","2004","15.0","0",""
"198","1984","15.0","0",""
"2775","2013","","0","CVS, pharmacy"
"1362","2001","9.0","0",""
"3251","2018","","0","Starbucks"
"294","1987","15.0","0",""
"2774","2012","","0",""
"183","1983","14.0","0","Beer, Available, Starbucks, Wine"
"1307","2001","9.0","0","Beer, Available, Wine"
"1309","2000","15.0","0","Beer, Available, Wine"
"3218","2017","","0",""
"2020","2005","15.0","0",""
"853","1994","14.0","0",""
"1862","2004","14.0","0",""
"313","1987","14.0","0",""
"1025","1996","15.0","0",""
"1527","2004","15.0","0","Starbucks"
"2492","2010","","0",""
"2463","2009","16.0","0",""
"310","1987","7.0","0","CVS, pharmacy"
"2268","2007","15.0","0",""
"312","1987","15.0","1","Starbucks"
"2347","2008","14.0","1",""
"1526","2003","14.0","0",""
"1819","2003","15.0","0",""
"311","1987","14.0","0","CVS, pharmacy, Mobile, Kiosk, Starbucks"
"1121","1998","15.0","0",""
"2115","2006","15.0","0",""
"2270","2007","15.0","1",""
"1098","1997","15.0","0",""
"2455","2009","","0",""
"738","1995","15.0","0",""
"332","1988","10.0","0","Fresh, Grocery, Mobile, Kiosk, Starbucks"
"267","1988","16.0","1","Fresh, Grocery, Available, Beer"
"938","1994","14.0","1",""
"827","1992","15.0","3",""
"2096","2005","14.0","1",""
"1502","2002","15.0","3",""
"273","1987","14.0","1",""
"2408","2008","15.0","0",""
"2604","2014","","1",""
"675","1991","15.0","0","Starbucks"
"828","1993","15.0","0",""
"2214","2006","15.0","0",""
"330","1987","9.0","0",""
"2771","2011","","0",""
"1208","1999","15.0","0",""
"949","1995","15.0","0",""
"328","1987","15.0","0","Starbucks"
"1097","2000","13.0","0",""
"331","1987","15.0","3","CVS, pharmacy"
"1304","2000","14.0","1","Starbucks, Fresh, Grocery"
"1026","1996","15.0","0","CVS, pharmacy"
"1438","2004","7.0","0","CVS, pharmacy"
"737","1995","15.0","0",""
"1428","2002","15.0","0","Starbucks"
"3202","2015","","1","Starbucks, CafePizza, Available, Beer"
"2185","2006","15.0","0","Beer, Available, Wine"
"3267","2017","","1","CafePizza, Available, Beer"
"1472","2002","7.0","0",""
"1422","2002","15.0","0","CVS, pharmacy"
"1507","2008","15.0","0",""
"1926","2004","15.0","0",""
"2767","2011","","0",""
"2615","2012","13.0","0",""
"2829","2013","","0",""
"626","1990","15.0","0","CVS, pharmacy, Starbucks"
"1426","2002","15.0","0","CVS, pharmacy, Beer, Available, Wine"
"2581","2010","","0",""
"318","1987","13.0","1",""
"3201","2015","","0",""
"1984","2005","15.0","1","Available, Beer"
"2766","2012","","0",""
"2772","2013","","0",""
"2238","2006","7.0","0",""
"2088","2006","8.0","0",""
"692","1992","15.0","0",""
"3265","2017","","0",""
"2768","2013","","0",""
"2386","2008","","2",""
"2830","2014","","0",""
"2281","2007","15.0","0",""
"3240","2017","","1","CafePizza"
"1122","1998","15.0","0",""
"2584","2009","16.0","0",""
